Row 19:  Tháng  |  Sản lượng nắng  |  Sản lượng điện  |  Sản lượng điện  |  Giá điện TB  |  Giá điện TB  |  Doanh thu Solar  |  Doanh thu BESS  |  Tổng Doanh thu  |  Gốc + Lãi Vay  |  Chi phí Bảo Trì  |  Lợi nhuận Ròng  |  Lũy kế Hoàn vốn 
Row 20:  |  |  Solar (kWh)  |  BESS (kWh)  |  Solar (VNĐ)  |  BESS (VNĐ)  |  (VNĐ)  |  (VNĐ)  |  Tiết kiệm (VNĐ)  |  (VNĐ)  |  (36 tháng miễn phí)  |  (VNĐ)  |  Vốn tự có (VNĐ) 
Row 55: 35 | 118 | =ROUND(C43*0.95,0) | =ROUND(D43*90%,0) | =E43*1.05 | =F43*1.05 | =C55*E55 | =D55*F55 | =G55+H55 | 32000000 | 0 | =I55-J55-K55 | -544005792
Row 56: 36 | 120 | =ROUND(C44*0.95,0) | =ROUND(D44*90%,0) | =E44*1.05 | =F44*1.05 | =C56*E56 | =D56*F56 | =G56+H56 | 32000000 | 0 | =I56-J56-K56 | -544385448
Row 57: 37 | 128 | =ROUND(C45*0.95,0) | =ROUND(D45*90%,0) | =E45*1.05 | =F45*1.05 | =C57*E57 | =D57*F57 | =G57+H57 | 32000000 | 0 | =I57-J57-K57 | -541480587
Row 58: 38 | 134 | =ROUND(C46*0.95,0) | =ROUND(D46*90%,0) | =E46*1.05 | =F46*1.05 | =C58*E58 | =D58*F58 | =G58+H58 | 32000000 | 0 | =I58-J58-K58 | -538297734
Row 59: 39 | 148 | =ROUND(C47*0.95,0) | =ROUND(D47*90%,0) | =E47*1.05 | =F47*1.05 | =C59*E59 | =D59*F59 | =G59+H59 | 32000000 | 0 | =I59-J59-K59 | -531559953
Row 60: 40 | 132 | =ROUND(C48*0.95,0) | =ROUND(D48*90%,0) | =E48*1.05 | =F48*1.05 | =C60*E60 | =D60*F60 | =G60+H60 | 32000000 | 0 | =I60-J60-K60 | -528882540
Row 61: 41 | 118 | =ROUND(C49*0.95,0) | =ROUND(D49*90%,0) | =E49*1.05 | =F49*1.05 | =C61*E61 | =D61*F61 | =G61+H61 | 32000000 | 0 | =I61-J61-K61 | -529755843
Row 62: 42 | 107 | =ROUND(C50*0.95,0) | =ROUND(D50*90%,0) | =E50*1.05 | =F50*1.05 | =C62*E62 | =D62*F62 | =G62+H62 | 32000000 | 0 | =I62-J62-K62 | -533421702
Row 63: 43 | 107 | =ROUND(C51*0.95,0) | =ROUND(D51*90%,0) | =E51*1.05 | =F51*1.05 | =C63*E63 | =D63*F63 | =G63+H63 | 32000000 | 0 | =I63-J63-K63 | -537087561
Row 64: 44 | 114 | =ROUND(C52*0.95,0) | =ROUND(D52*90%,0) | =E52*1.05 | =F52*1.05 | =C64*E64 | =D64*F64 | =G64+H64 | 32000000 | 0 | =I64-J64-K64 | -538980168
Row 65: 45 | 105 | =ROUND(C53*0.95,0) | =ROUND(D53*90%,0) | =E53*1.05 | =F53*1.05 | =C65*E65 | =D65*F65 | =G65+H65 | 32000000 | 0 | =I65-J65-K65 | -543155679
Row 66: 46 | 115 | =ROUND(C54*0.95,0) | =ROUND(D54*90%,0) | =E54*1.05 | =F54*1.05 | =C66*E66 | =D66*F66 | =G66+H66 | 32000000 | 0 | =I66-J66-K66 | -544795566
Row 67: 47 | 118 | =ROUND(C55*0.95,0) | =ROUND(D55*90%,0) | =E55*1.05 | =F55*1.05 | =C67*E67 | =D67*F67 | =G67+H67 | 32000000 | 0 | =I67-J67-K67 | -545668869
Row 68: 48 | 120 | =ROUND(C56*0.95,0) | =ROUND(D56*90%,0) | =E56*1.05 | =F56*1.05 | =C68*E68 | =D68*F68 | =G68+H68 | 32000000 | 0 | =I68-J68-K68 | -546036732
Row 69: 49 | 128 | =ROUND(C57*0.95,0) | =ROUND(D57*90%,0) | =E57*1.05 | =F57*1.05 | =C69*E69 | =D69*F69 | =G69+H69 | 0 | 0 | =I69-J69-K69 | -511028486
Row 70: 50 | 134 | =ROUND(C58*0.95,0) | =ROUND(D58*90%,0) | =E58*1.05 | =F58*1.05 | =C70*E70 | =D70*F70 | =G70+H70 | 0 | 0 | =I70-J70-K70 | -475737168
Row 71: 51 | 148 | =ROUND(C59*0.95,0) | =ROUND(D59*90%,0) | =E59*1.05 | =F59*1.05 | =C71*E71 | =D71*F71 | =G71+H71 | 0 | 0 | =I71-J71-K71 | -436823413
Row 72: 52 | 132 | =ROUND(C60*0.95,0) | =ROUND(D60*90%,0) | =E60*1.05 | =F60*1.05 | =C72*E72 | =D72*F72 | =G72+H72 | 0 | 0 | =I72-J72-K72 | -402045163
Row 73: 53 | 118 | =ROUND(C61*0.95,0) | =ROUND(D61*90%,0) | =E61*1.05 | =F61*1.05 | =C73*E73 | =D73*F73 | =G73+H73 | 0 | 0 | =I73-J73-K73 | -370884927
Row 74: 54 | 107 | =ROUND(C62*0.95,0) | =ROUND(D62*90%,0) | =E62*1.05 | =F62*1.05 | =C74*E74 | =D74*F74 | =G74+H74 | 0 | 0 | =I74-J74-K74 | -342568680
Row 75: 55 | 107 | =ROUND(C63*0.95,0) | =ROUND(D63*90%,0) | =E63*1.05 | =F63*1.05 | =C75*E75 | =D75*F75 | =G75+H75 | 0 | 0 | =I75-J75-K75 | -314252433
Row 76: 56 | 114 | =ROUND(C64*0.95,0) | =ROUND(D64*90%,0) | =E64*1.05 | =F64*1.05 | =C76*E76 | =D76*F76 | =G76+H76 | 0 | 0 | =I76-J76-K76 | -284131602
Row 77: 57 | 105 | =ROUND(C65*0.95,0) | =ROUND(D65*90%,0) | =E65*1.05 | =F65*1.05 | =C77*E77 | =D77*F77 | =G77+H77 | 0 | 0 | =I77-J77-K77 | -256332846
Row 78: 58 | 115 | =ROUND(C66*0.95,0) | =ROUND(D66*90%,0) | =E66*1.05 | =F66*1.05 | =C78*E78 | =D78*F78 | =G78+H78 | 0 | 0 | =I78-J78-K78 | -225951058
